team_name,team_number
Akopalipsa,1385
Tainted Minds,1386
TShow,1387
New England Whalers,1388
Friends,1389
Vulture,1390
NewBALLS,1391
INTZ.Academy,1392
Reapers,1393
Anonymous,1394
BTRG.IMBA,1395
Manatee,1396
Dream,1397
BE INFAMOUS,1398
Guerrilla Tactics,1399
GODSENT Academy,1400
Portugal,1401
Escape,1402
VeloX,1403
Divine,1404
3DMAX,1405
2ez,1406
CSatse,1407
kalajarnot,1408
OnlineBOTS,1409
Bad News Bears,1410
AEON,1411
bamboozled,1412
ArchAngels,1413
NEO Blue,1414
LDLC,1415
EMC,1416
TOP GUN,1417
Off The Grid,1418
RESISTANCE,1419
PopcornPlokker$,1420
Drip or Drown,1421
Grizzlys,1422
Living Like Larry,1423
ex-Atmosphere,1424
pro100,1425
SkitLite,1426
Salamander,1427
Fire Dragoon,1428
Vision,1429
ex-MC,1430
Mammoth,1431
Aimers Alive,1432
hREDS,1433
1WIN,1434
neXtPlease!,1435
UYA,1436
Cypher,1437
Colombia,1438
Evolution,1439
c0ntact,1440
hookahlike,1441
Node,1442
iNETKOXTV,1443
JSBF,1444
Signature,1445
Otter,1446
BIG Academy,1447
LGR,1448
Red Instinct,1449
RRQ,1450
One More Time,1451
I sleep,1452
Norse,1453
Quad,1454
Player 5,1455
Ivyaert,1456
5Love.N4,1457
mouseSpaz,1458
30.6,1459
LiViD,1460
Virtus.pro,1461
Rude,1462
MWNL,1463
BX3,1464
Defusekids,1465
FakeOutNation,1466
YETTI,1467
4US,1468
Spartak,1469
New4,1470
Inflames,1471
Nova Dragons,1472
Arena Bulls,1473
average25iqbutheadshots,1474
FTW. Prinfor,1475
ownage,1476
Instinct,1477
Genuine,1478
MISO,1479
Gambit,1480
VB,1481
1337,1482
One One,1483
ZEN,1484
catman,1485
Swole Identity,1486
eNergy Academy,1487
JYP,1488
Airborne,1489
Delete,1490
Platinium,1491
Dynasty fe,1492
MMCLUB,1493
Misfits,1494
Revelation,1495
Aim4R,1496
SODMG,1497
ALTERNATE aTTaX,1498
Black,1499
PAPERPLANES,1500
ex-Caladrius,1501
Sprout,1502
Funkd,1503
nerdRage,1504
Big 5,1505
ex-GameplayDNA,1506
Millenium,1507
Atlants,1508
LGD,1509
AVANGAR,1510
Aster,1511
Chrome,1512
CG,1513
STREAMLINE,1514
8 Minded,1515
Remo Brave,1516
Fallout,1517
Good Game PR,1518
TRS,1519
Vindicta,1520
Aristocracy,1521
UltiCoin,1522
Pixel,1523
Vega Squadron,1524
CheckSix,1525
SFTO,1526
rUNITED,1527
hmm,1528
Monolith,1529
TheDice,1530
PLINK,1531
Shanghai Emperors,1532
AVEZ,1533
Echo Fox,1534
New Identity,1535
EURONICS,1536
Final Feature,1537
FrenchFrogs,1538
eXplosive,1539
Malvinas,1540
Hot Ass,1541
calmface,1542
Polar Ace,1543
TSM,1544
District 9,1545
xTc,1546
Orbit,1547
Assassins,1548
FCDB,1549
Clarity,1550
Wind and Rain,1551
KoN Denmark,1552
SI,1553
